"","sd","type","S.0","S.1","S.2","S.3","S.4","S.5","S.6","S.7","S.8","S.9"
"log.muv3",0.1,"par",1,1,3.43401478541559,4.41708380611744,5.86325843424751,5.98519270291914,5.66041580121903,6.11434163664571,6.77586880499252,6.56206062971978
"log.muv4",0.1,"par",1,1,1,3.24803553347413,4.54393206575064,4.69020801077775,1.94242854785975,5.4007550239919,0.109367088246932,3.69648426121371
"log.muv5",0.1,"par",1,1,1,1,2.81192756206862,3.40687652399367,4.3706087489958,-0.573083784310683,2.30351381601211,0.33405954549768
"log.muv6",0.1,"par",1,1,1,1,1,1,0.0886317271705117,4.86842127379596,3.1969812858701,-0.451074510235471
"log.muv7",0.1,"par",1,1,1,1,1,1,1,-3.60725281788537,-2.62048710232588,2.14623877075765
"log.muv8",0.1,"par",1,1,1,1,1,1,1,1,2.38687282440466,-7.28056170466621
"log.muv9",0.1,"par",1,1,1,1,1,1,1,1,1,1.81997260670947
"bmuv",0,"fixed",1,1,1,1,1,1,1,1,1,1
"cmuv",0.1,"par",97.3946444413107,39.9680076727761,42.3122158060173,43.6428111878029,41.5498368855926,38.4447948254675,67.4553973548126,61.4429515337812,75.7233963647534,75.4463447985668
"tau",0.1,"par",0.132087362145791,0.0735315760284448,0.0497050686545839,0.0524686334260838,0.0500684967152829,0.0569406707548306,0.0487609909697576,0.0399203146829661,0.0497942354195862,0.0400823926371755
"BSH.0",0.1,"ivp",0.0144847147920846,0.0249330940131815,0.0125324339627967,0.0235398971976441,0.0144029160309768,0.0143001730218466,0.0718769982823928,0.0527214077379912,0.225752869534703,0.264912537600937
"BEH.0",0.1,"ivp",2.12995768497426e-08,2.30670141483679e-08,2.67856520046273e-08,2.17093042690066e-08,2.33621676218134e-08,2.13115559724986e-08,2.33273213233353e-08,2.13985626773312e-08,2.28837577226319e-08,2.3259239733487e-08
"BIH.0",0.1,"ivp",2.01599243874759e-08,2.66516086882213e-08,2.13267293326488e-08,2.18729735522752e-08,2.60573997602319e-08,2.14864272187153e-08,2.10046669629326e-08,2.37311486100045e-08,2.91869942777276e-08,2.73412351401861e-08
"BEQ.0",0.1,"ivp",0,0,0,0,0,0,0,0,0,0
"BIQ.0",0.1,"ivp",0,0,0,0,0,0,0,0,0,0
"BH.0",0.1,"ivp",0,0,0,0,0,0,0,0,0,0
"BR.0",0.1,"ivp",0.985515243748413,0.975066856268196,0.987467517924821,0.976460059220079,0.985597034549456,0.98569978418017,0.928122957385619,0.947278547132298,0.774247078394546,0.735087411798589
"CSH.0",0.1,"ivp",0.0999289242372919,0.597312408286784,0.588229896482174,0.516165733833226,0.609531105458117,0.562691747351546,0.458422628976118,0.794406871568413,0.583520997715077,0.747161676376393
"CEH.0",0.1,"ivp",6.84814479559319e-08,2.58306012992806e-08,3.29479240669539e-08,2.16086543480302e-08,2.66033697490989e-08,3.23187333272489e-08,5.6923930324009e-08,3.16926615879345e-08,5.64276187110307e-08,2.2533475002803e-08
"CIH.0",0.1,"ivp",2.72514552457136e-08,3.31755346477926e-08,2.85250779533558e-08,3.12418614318479e-08,3.00564925488103e-08,2.195665838478e-08,2.66419054320415e-08,2.28374081628074e-08,2.8803985338222e-08,3.34174035722123e-08
"CEQ.0",0.1,"ivp",0,0,0,0,0,0,0,0,0,0
"CIQ.0",0.1,"ivp",0,0,0,0,0,0,0,0,0,0
"CH.0",0.1,"ivp",0,0,0,0,0,0,0,0,0,0
"CR.0",0.1,"ivp",0.900070980029806,0.402687532707081,0.411770042044824,0.483834213316258,0.390468837882021,0.437308198373062,0.541577287458047,0.205593073901515,0.416478917053318,0.252838267672728
"DSH.0",0.1,"ivp",0.299026400784335,0.884738764017861,0.896863743306881,0.86411837315132,0.884572574165677,0.889574777764565,0.798038186388773,0.898697910753548,0.696625621089027,0.883001692460323
"DEH.0",0.1,"ivp",2.09681843383726e-08,6.41944315751043e-08,5.63091401685283e-08,7.48388063501298e-08,2.07581297092062e-08,7.10251067638297e-08,2.68070709896046e-08,7.76103777497681e-08,2.54824203438033e-08,2.61975514309595e-08
"DIH.0",0.1,"ivp",6.54403718058906e-08,3.55333759021555e-08,2.41871748920384e-08,5.51608420294084e-08,5.85600856373246e-08,3.147015009276e-08,5.64049412237423e-08,5.15125370186198e-08,5.67991765823541e-08,7.50908936035697e-08
"DEQ.0",0.1,"ivp",0,0,0,0,0,0,0,0,0,0
"DIQ.0",0.1,"ivp",0,0,0,0,0,0,0,0,0,0
"DH.0",0.1,"ivp",0,0,0,0,0,0,0,0,0,0
"DR.0",0.1,"ivp",0.700973512807109,0.115261136254331,0.103136176196806,0.135881496849033,0.115427346516108,0.110425119740177,0.201961730399214,0.101301960123539,0.303374296629375,0.116998206251233
"pop",0,"fixed",5e+07,5e+07,5e+07,5e+07,5e+07,5e+07,5e+07,5e+07,5e+07,5e+07
"susc.ini",0,"fixed",0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
"infe.ini",0,"fixed",1,1,1,1,1,1,1,1,1,1
"t0",0,"fixed",0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289
